,AWAY,HOME,VegasSpread,VegasTotal,Court,Time
91,Jackson St.,Abilene Christian,-14,138,H,7:00 PM
92,Idaho St.,BYU,-17,143,H,8:00 PM
93,Columbia,Rutgers,-19,143,H,6:00 PM
95,Eastern Illinois,Illinois,-28,142,H,8:00 PM
96,Lafayette,Miami FL,-26,150,H,6:30 PM
97,Robert Morris,Ohio St.,-18,148,H,6:00 PM
98,Central Arkansas,Wichita St.,-14,152,H,7:00 PM
99,North Carolina Central,Virginia,-20,130,H,8:00 PM
100,Maine,Nebraska,-20,156,H,7:00 PM
101,New Orleans,Butler,-18,150,H,5:43 PM
102,Alcorn St.,Mississippi,-22,138,H,8:00 PM
103,Maryland Eastern Shore,Old Dominion,-9,133,H,6:00 PM
104,Little Rock,Southern Illinois,-13,133,H,7:00 PM
105,Albany,Towson,-17,141,H,6:00 PM
106,Texas A&M Commerce,SMU,-14,150,H,7:30 PM
107,Arkansas Pine Bluff,TCU,-31,147,H,7:00 PM
108,NJIT,Saint Peter's,-6,132,H,6:00 PM
109,Southeast Missouri St.,South Florida,-17,143,H,7:00 PM
110,The Citadel,Clemson,-23,145,H,6:00 PM
111,UT Rio Grande Valley,Kansas St.,-31,149,H,8:00 PM
112,Central Connecticut,Massachusetts,-15,157,H,6:30 PM
113,Chicago St.,Northwestern,-19,149,H,7:00 PM
114,Western Illinois,Illinois St.,-15,149,H,7:00 PM
115,LIU Brooklyn,Utah,-20,144,H,10:00 PM
116,Houston Christian,FIU,-14,150,H,6:00 PM
117,Fairleigh Dickinson,Loyola Chicago,-28,144,H,7:00 PM
118,Idaho,Denver,-13,159,H,6:00 PM
119,VMI,Richmond,-21,145,H,6:00 PM
120,Green Bay,Indiana St.,-18,144,H,6:00 PM
121,IUPUI,Iowa St.,-26,134,H,7:00 PM
