Team,AdjEM,AdjOE,AdjDE
Niagara,-3.6999999999999886,99.4,103.1
Boston University,-4.0,105.1,109.1
Harvard,-3.799999999999997,98.4,102.2
Detroit,-4.1000000000000085,106.1,110.2
Oregon St.,-4.400000000000006,106.3,110.7
Fairfield,-4.200000000000003,100.1,104.3
Southern,-4.0,96.2,100.2
Eastern Washington,-4.6000000000000085,103.8,108.4
James Madison,-4.599999999999994,103.7,108.3
Southeast Missouri St.,-4.700000000000003,105.5,110.2
Kennesaw St.,-4.900000000000006,104.5,109.4
UT Arlington,-4.700000000000003,98.3,103.0
Western Illinois,-4.8999999999999915,101.9,106.8
La Salle,-4.900000000000006,99.8,104.7
Howard,-4.900000000000006,102.0,106.9
South Florida,-4.700000000000003,92.7,97.4
Dartmouth,-4.8999999999999915,97.4,102.3
UNC Asheville,-5.199999999999989,100.9,106.1
High Point,-5.1000000000000085,99.8,104.9
Montana,-5.299999999999997,101.2,106.5
UMBC,-5.5,104.4,109.9
Rice,-5.5,105.6,111.1
Brown,-5.300000000000011,99.6,104.9
LIU Brooklyn,-5.3999999999999915,99.9,105.3
Stony Brook,-5.700000000000003,105.2,110.9
Alcorn St.,-5.700000000000003,99.8,105.5
Ball St.,-5.799999999999997,102.8,108.6
New Hampshire,-5.900000000000006,103.8,109.7
Mount St. Mary's,-5.599999999999994,96.9,102.5
Rider,-5.700000000000003,98.0,103.7
Siena,-5.900000000000006,98.3,104.2
Marshall,-6.400000000000006,101.5,107.9
Air Force,-6.300000000000011,97.1,103.4
Team,0.0,0.0,0.0
The Citadel,-6.700000000000003,101.8,108.5
Youngstown St.,-6.799999999999997,103.9,110.7
Elon,-6.6000000000000085,99.3,105.9
Northeastern,-6.5,97.9,104.4
Georgia Southern,-6.5,96.9,103.4
Tennessee Tech,-6.799999999999997,101.7,108.5
Lipscomb,-7.099999999999994,103.2,110.3
Miami OH,-7.5,104.2,111.7
Tennessee St.,-7.299999999999997,99.2,106.5
Eastern Kentucky,-7.6000000000000085,101.8,109.4
New Orleans,-7.300000000000011,97.6,104.9
North Florida,-7.5,97.7,105.2
Quinnipiac,-8.0,102.6,110.6
USC Upstate,-7.900000000000006,102.0,109.9
Pepperdine,-7.700000000000003,98.8,106.5
Texas A&M Corpus Chris,-7.599999999999994,97.4,105.0
Louisiana Monroe,-8.099999999999994,101.5,109.6
Bowling Green,-8.399999999999991,104.7,113.1
Southeastern Louisiana,-8.400000000000006,104.3,112.7
Manhattan,-8.399999999999991,100.7,109.1
FIU,-8.300000000000011,98.6,106.9
UC San Diego,-8.599999999999994,101.9,110.5
Canisius,-8.5,97.9,106.4
Portland St.,-8.5,97.8,106.3
Hartford,-9.099999999999994,103.2,112.3
UMass Lowell,-8.400000000000006,95.5,103.9
Pacific,-8.599999999999994,96.2,104.8
Presbyterian,-8.599999999999994,96.4,105.0
Prairie View A&M,-8.900000000000006,98.5,107.4
Illinois Chicago,-9.200000000000003,101.0,110.2
Dixie St.,-8.799999999999997,95.3,104.1
Radford,-9.0,96.3,105.3
North Carolina A&T,-9.299999999999997,97.9,107.2
Austin Peay,-9.099999999999994,95.7,104.8
St. Thomas,-10.399999999999991,106.7,117.1
Albany,-9.300000000000011,94.1,103.4
SIU Edwardsville,-9.700000000000003,95.6,105.3
Loyola MD,-9.799999999999997,96.0,105.8
Army,-10.100000000000009,97.6,107.7
Jackson St.,-9.799999999999997,94.0,103.8
San Jose St.,-10.400000000000006,98.8,109.2
Central Arkansas,-10.900000000000006,101.0,111.9
Denver,-10.900000000000006,100.5,111.4
Tennessee Martin,-10.5,97.4,107.9
Duquesne,-10.700000000000003,97.8,108.5
Lehigh,-10.899999999999991,99.4,110.3
Merrimack,-10.699999999999989,94.9,105.6
Cal St. Bakersfield,-11.200000000000003,99.1,110.3
Morgan St.,-10.700000000000003,94.6,105.3
Northern Illinois,-10.700000000000003,94.3,105.0
Team,0.0,0.0,0.0
Cal Poly,-10.799999999999997,94.3,105.1
Western Carolina,-11.5,99.0,110.5
Eastern Michigan,-11.200000000000003,96.0,107.2
Binghamton,-11.399999999999991,94.9,106.3
North Alabama,-11.5,92.3,103.8
Stetson,-12.099999999999994,97.4,109.5
Florida A&M,-12.0,96.5,108.5
