,away_team,home_team,commence_time,DraftKings,BetMGM spreads,FanDuel,AWAY,HOME
15,Tarleton State Texans,Florida St Seminoles,2024-11-12 18:00:00-06:00,-19.0,-19.5,-18.5,Tarleton St.,Florida St.
16,North Carolina A&T Aggies,GW Revolutionaries,2024-11-12 18:00:00-06:00,-13.0,-13.5,-12.5,North Carolina A&T,
17,North Florida Ospreys,Georgia Bulldogs,2024-11-12 18:00:00-06:00,-12.0,-11.5,-11.5,North Florida,Georgia
18,North Carolina Central Eagles,High Point Panthers,2024-11-12 18:00:00-06:00,-14.5,-14.5,-14.5,North Carolina Central,High Point
19,SIU-Edwardsville Cougars,Indiana St Sycamores,2024-11-12 18:00:00-06:00,-8.0,-8.5,-7.5,SIU Edwardsville,Indiana St.
20,Pennsylvania Quakers,Lafayette Leopards,2024-11-12 18:00:00-06:00,1.5,1.5,1.5,Penn,Lafayette
21,Loyola (MD) Greyhounds,NJIT Highlanders,2024-11-12 18:00:00-06:00,-2.0,-1.5,-1.5,Loyola MD,NJIT
22,Maryland-Eastern Shore Hawks,Miami (OH) RedHawks,2024-11-12 18:00:00-06:00,-17.0,,-16.5,Maryland Eastern Shore,Miami OH
23,Monmouth Hawks,Northern Illinois Huskies,2024-11-12 18:00:00-06:00,1.0,,1.5,Monmouth,Northern Illinois
24,Rider Broncs,Navy Midshipmen,2024-11-12 18:00:00-06:00,-4.5,-4.5,-4.5,Rider,Navy
25,Norfolk St Spartans,William & Mary Tribe,2024-11-12 18:00:00-06:00,-1.5,-1.5,-1.5,Norfolk St.,William & Mary
26,UIC Flames,Northwestern Wildcats,2024-11-12 18:00:00-06:00,-15.0,-15.5,-15.5,Illinois Chicago,Northwestern
27,Old Dominion Monarchs,Radford Highlanders,2024-11-12 18:00:00-06:00,-4.5,-4.5,-4.5,Old Dominion,Radford
28,St. Francis (PA) Red Flash,Penn State Nittany Lions,2024-11-12 18:00:00-06:00,-27.0,-27.5,-26.5,St. Francis PA,Penn St.
29,Towson Tigers,South Carolina Gamecocks,2024-11-12 18:00:00-06:00,-8.0,-7.5,-7.5,Towson,South Carolina
30,West Georgia Wolves,Tennessee Tech Golden Eagles,2024-11-12 18:00:00-06:00,,,,,Tennessee Tech
31,Texas Southern Tigers,Georgia Tech Yellow Jackets,2024-11-12 18:30:00-06:00,-16.5,-16.5,-16.5,Texas Southern,Georgia Tech
32,SE Louisiana Lions,Mississippi St Bulldogs,2024-11-12 18:30:00-06:00,-25.5,-26.5,-26.5,Southeastern Louisiana,Mississippi St.
33,Arkansas-Little Rock Trojans,Arkansas St Red Wolves,2024-11-12 19:00:00-06:00,-15.0,-15.5,-14.5,Little Rock,Arkansas St.
34,Sam Houston St Bearkats,Baylor Bears,2024-11-12 19:00:00-06:00,-15.0,-15.5,-15.5,Sam Houston St.,Baylor
35,Belmont Bruins,Lipscomb Bisons,2024-11-12 19:00:00-06:00,-6.0,-6.5,-6.5,Belmont,Lipscomb
36,UTSA Roadrunners,Bradley Braves,2024-11-12 19:00:00-06:00,-11.0,-11.5,-11.5,UTSA,Bradley
37,Chicago St Cougars,Texas Longhorns,2024-11-12 19:00:00-06:00,-27.5,-27.5,-27.5,Chicago St.,Texas
38,Cleveland St Vikings,Valparaiso Beacons,2024-11-12 19:00:00-06:00,-1.5,-1.5,-1.5,Cleveland St.,Valparaiso
39,Ohio Bobcats,Illinois St Redbirds,2024-11-12 19:00:00-06:00,3.0,2.5,3.5,Ohio,Illinois St.
40,Prairie View Panthers,Incarnate Word Cardinals,2024-11-12 19:00:00-06:00,-9.5,-9.5,-9.5,Prairie View A&M,Incarnate Word
41,South Alabama Jaguars,Ole Miss Rebels,2024-11-12 19:00:00-06:00,-17.5,-17.5,-17.5,South Alabama,Mississippi
42,UL Monroe Warhawks,Rice Owls,2024-11-12 19:00:00-06:00,-8.0,-8.5,-8.5,Louisiana Monroe,Rice
43,Texas State Bobcats,TCU Horned Frogs,2024-11-12 19:00:00-06:00,-15.0,-15.5,-15.5,Texas St.,TCU
44,Jackson St Tigers,Xavier Musketeers,2024-11-12 19:30:00-06:00,-26.5,-26.5,-26.5,Jackson St.,Xavier
45,Denver Pioneers,Colorado St Rams,2024-11-12 20:00:00-06:00,-20.5,-20.5,-20.5,Denver,Colorado St.
46,South Dakota Coyotes,Iowa Hawkeyes,2024-11-12 20:00:00-06:00,-22.5,-22.5,-22.5,South Dakota,Iowa
47,Texas A&M-CC Islanders,New Mexico Lobos,2024-11-12 20:00:00-06:00,-16.5,-16.5,-16.5,Texas A&M Corpus Chris,New Mexico
48,Queens University Royals,Utah Utes,2024-11-12 20:00:00-06:00,-22.5,,,Queens,Utah
49,Kentucky Wildcats,Duke Blue Devils,2024-11-12 20:00:12-06:00,-6.0,-6.5,-6.5,Kentucky,Duke
50,Akron Zips,Saint Mary's Gaels,2024-11-12 21:00:00-06:00,-14.5,,-13.5,Akron,Saint Mary's
51,UC Riverside Highlanders,Cal Baptist Lancers,2024-11-12 21:00:00-06:00,-3.5,-3.5,-3.5,UC Riverside,Cal Baptist
52,Northern Arizona Lumberjacks,Stanford Cardinal,2024-11-12 21:00:00-06:00,-18.0,-18.5,-17.5,Northern Arizona,Stanford
53,Portland St Vikings,San Diego Toreros,2024-11-12 21:00:00-06:00,-1.5,-1.5,-1.5,Portland St.,San Diego
54,Sacramento St Hornets,UC San Diego Tritons,2024-11-12 21:00:00-06:00,-13.5,-13.5,-13.5,Sacramento St.,UC San Diego
55,Portland Pilots,Oregon Ducks,2024-11-12 22:00:00-06:00,-26.5,-26.5,-26.5,Portland,Oregon
