Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,,
Fairleigh Dickinson Knights,Fairleigh Dickinson,,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,,1
Florida Gators,Florida,,Florida,Florida,Florida,Florida,Florida,Florida,,1
Florida AM Rattlers,Florida A%26M,,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,,1
Florida Atlantic Owls,Florida Atlantic,,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,,1
Florida Gulf Coast Eagles,Florida Gulf Coast,,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,,1
Florida International Panthers,FIU,,FIU,FIU,FIU,FIU,Florida International,Florida International,,1
Florida State Seminoles,Florida St.,2261,Florida St. 9,Florida St. 9,Florida St.,Florida St.,Florida State,Florida State,,1
Fordham Rams,Fordham,,Fordham,Fordham,Fordham,Fordham,Fordham,Fordham,,1
Fresno St Bulldogs,Fresno St.,,Fresno St.,Fresno St.,Fresno St.,Fresno St.,Fresno State,Fresno State,,1
Furman Paladins,Furman,,Furman,Furman,Furman,Furman,Furman,Furman,,1
Gardner Webb Runnin Bulldogs,Gardner Webb,,Gardner Webb,Gardner Webb,Gardner Webb,Gardner Webb,Gardner-Webb,Gardner-Webb,,1
George Mason Patriots,George Mason,,George Mason,George Mason,George Mason,George Mason,George Mason,George Mason,,1
George Washington Colonials,George Washington,,George Washington,George Washington,George Washington,George Washington,George Washington,George Washington,,1
Georgetown Hoyas,Georgetown,2316,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,,1
Georgia Bulldogs,Georgia,,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,,1
Georgia Southern Eagles,Georgia Southern,,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,,1
Georgia St Panthers,Georgia St.,,Georgia St. 15,Georgia St. 15,Georgia St.,Georgia St.,Georgia State,Georgia State,,1
Georgia Tech Yellow Jackets,Georgia Tech,2259,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,,1
Gonzaga Bulldogs,Gonzaga,,Gonzaga 4,Gonzaga 4,Gonzaga,Gonzaga,Gonzaga,Gonzaga,,1
Grambling State Tigers,Grambling St.,,Grambling St.,Grambling St.,Grambling St.,Grambling St.,Grambling,Grambling,,1
Grand Canyon Antelopes,Grand Canyon,,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,,1
Green Bay Phoenix,Green Bay,,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,,1
Hampton Pirates,Hampton,,Hampton,Hampton,Hampton,Hampton,Hampton,Hampton,,1
Hartford Hawks,Hartford,2269,Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,,1
Harvard Crimson,Harvard,,Harvard,Harvard,Harvard,Harvard,Harvard,Harvard,,1
Hawaii Rainbow Warriors,Hawaii,,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,,1
High Point Panthers,High Point,,High Point,High Point,High Point,High Point,High Point,High Point,,1
Hofstra Pride,Hofstra,,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,,1
Holy Cross Crusaders,Holy Cross,,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,,1
Houston Cougars,Houston,2515,Houston 6,Houston 6,Houston,Houston,Houston,Houston,,1
Houston Christian Huskies,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,,
Howard Bison,Howard,,Howard,Howard,Howard,Howard,Howard,Howard,,1
Idaho Vandals,Idaho,,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,,1
Idaho State Bengals,Idaho St.,,Idaho St.,Idaho St.,Idaho St.,Idaho St.,Idaho State,Idaho State,,1
Illinois Fighting Illini,Illinois,2264,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,,1
Illinois St Redbirds,Illinois St.,,Illinois St.,Illinois St.,Illinois St.,Illinois St.,Illinois State,Illinois State,,1
Illinois-Chicago Flames,Illinois Chicago,,Illinois Chicago,Illinois Chicago,Illinois Chicago,Illinois Chicago,UIC,Illinois-Chicago,,0
Incarnate Word Cardinals,Incarnate Word,,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,,1
Indiana Hoosiers,Indiana,2481,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,,1
IUPUI Jaguars,IUPUI,,IUPUI,IUPUI,IUPUI,IUPUI,IUPUI,IUPUI,,1
Indiana St Sycamores,Indiana St.,,Indiana St.,Indiana St.,Indiana St.,Indiana St.,Indiana State,Indiana State,,1
Iona Gaels,Iona,,Iona 15,Iona 15,Iona,Iona,Iona,Iona,,1
Iowa Hawkeyes,Iowa,2196,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,,1
Iowa State Cyclones,Iowa St.,2513,Iowa St.,Iowa St.,Iowa St.,Iowa St.,Iowa State,Iowa State,,1
Purdue Fort Wayne Mastodons,Fort Wayne,,Purdue Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Purdue-Fort Wayne,Purdue-Fort Wayne,,1
Jackson State Tigers,Jackson St.,,Jackson St.,Jackson St.,Jackson St.,Jackson St.,Jackson State,Jackson State,,1
Jacksonville Dolphins,Jacksonville,,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,,1
Jacksonville St Gamecocks,Jacksonville St.,,Jacksonville St.,Jacksonville St.,Jacksonville St.,Jacksonville St.,Jacksonville State,Jacksonville State,,1
James Madison Dukes,James Madison,,James Madison,James Madison,James Madison,James Madison,James Madison,James Madison,,1
Kansas Jayhawks,Kansas,2507,Kansas 1,Kansas 1,Kansas,Kansas,Kansas,Kansas,,1
Kansas State Wildcats,Kansas St.,2311,Kansas St. 9,Kansas St. 9,Kansas St.,Kansas St.,Kansas State,Kansas State,,1
Kennesaw St Owls,Kennesaw St.,,Kennesaw St.,Kennesaw St.,Kennesaw St.,Kennesaw St.,Kennesaw State,Kennesaw State,,1
Kent St Golden Flashes,Kent St.,,Kent St.,Kent St.,Kent St.,Kent St.,Kent State,Kent State,,1
Kentucky Wildcats,Kentucky,,Kentucky 5,Kentucky 5,Kentucky,Kentucky,Kentucky,Kentucky,,1
La Salle Explorers,La Salle,,La Salle,La Salle,La Salle,La Salle,La Salle,La Salle,,1
Lafayette Leopards,Lafayette,,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,,1
Lamar Cardinals,Lamar,,Lamar,Lamar,Lamar,Lamar,Lamar,Lamar,,1
Lehigh Mountain Hawks,Lehigh,,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,,1
Liberty Flames,Liberty,,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,,1
