Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,FanDuel,BracketMatrix,TeamID
Winthrop Eagles,Winthrop,,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop Eagles,Winthrop,350
Milwaukee Panthers,Milwaukee,,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee Panthers,Milwaukee,351
Wisconsin Badgers,Wisconsin,2437,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin Badgers,Wisconsin,352
Wofford Terriers,Wofford,,Wofford,Wofford,Wofford,Wofford,Wofford,Wofford,Wofford Terriers,Wofford,353
Wright St Raiders,Wright St.,,Wright St.,Wright St. 14,Wright St.,Wright St.,Wright State,Wright State,Wright St Raiders,Wright St.,354
Wyoming Cowboys,Wyoming,,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming Cowboys,Wyoming,355
Xavier Musketeers,Xavier,2390,Xavier,Xavier 1,Xavier,Xavier,Xavier,Xavier,Xavier Musketeers,Xavier,356
Yale Bulldogs,Yale,,Yale,Yale,Yale,Yale,Yale,Yale,Yale Bulldogs,Yale,357
Youngstown St Penguins,Youngstown St.,,Youngstown St.,Youngstown St.,Youngstown St.,Youngstown St.,Youngstown State,Youngstown State,Youngstown St Penguins,Youngstown St.,358
Le Moyne Dolphins,Le Moyne,Le Moyne,Le Moyne,Le Moyne,Le Moyne,Le Moyne,Le Moyne,Le Moyne,Le Moyne Dolphins,Le Moyne,359
West Georgia Wolves,West Georgia,West Georgia,West Georgia,West Georgia,West Georgia,West Georgia,West Georgia,West Georgia,West Georgia Wolves,West Georgia,360
Louisiana Ragin Cajuns,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana Ragin C ajuns,Louisiana,361
Mercyhurst Lakers,Mercyhurst,Mercyhurst,Mercyhurst,Mercyhurst,Mercyhurst,Mercyhurst,Mercyhurst,Mercyhurst,Mercyhurst Lakers,Mercyhurst,362
East Texas A&M Lions,Texas A&M Commerce,Texas A&M Commerce,East Texas A&M,Texas A&M Commerce,Texas A&M Commerce,Texas A&M Commerce,Texas A&M Commerce,Texas A&M Commerce,East Texas A&M Lions,Texas A&M Commerce,363
