Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,FanDuel,BracketMatrix,TeamID
Gonzaga Bulldogs,Gonzaga,,Gonzaga,Gonzaga 4,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga Bulldogs,Gonzaga,103
Grambling State Tigers,Grambling St.,,Grambling St.,Grambling St.,Grambling St.,Grambling St.,Grambling,Grambling,Grambling St Tigers,Grambling St.,104
Grand Canyon Lopes,Grand Canyon,,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon Lopes,Grand Canyon,105
Green Bay Phoenix,Green Bay,,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay Phoenix,Green Bay,106
Hampton Pirates,Hampton,,Hampton,Hampton,Hampton,Hampton,Hampton,Hampton,Hampton Pirates,Hampton,107
Harvard Crimson,Harvard,,Harvard,Harvard,Harvard,Harvard,Harvard,Harvard,Harvard Crimson,Harvard,108
Hawaii Rainbow Warriors,Hawaii,,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawai'i Rainbow Warriors,Hawaii,109
High Point Panthers,High Point,,High Point,High Point,High Point,High Point,High Point,High Point,High Point Panthers,High Point,110
Hofstra Pride,Hofstra,,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra Pride,Hofstra,111
Holy Cross Crusaders,Holy Cross,,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross Crusaders,Holy Cross,112
Houston Cougars,Houston,2515,Houston,Houston 6,Houston,Houston,Houston,Houston,Houston Cougars,Houston,113
Houston Christian Huskies,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian Huskies,Houston Christian,114
Howard Bison,Howard,,Howard,Howard,Howard,Howard,Howard,Howard,Howard Bison,Howard,115
Idaho Vandals,Idaho,,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho Vandals,Idaho,116
Idaho State Bengals,Idaho St.,,Idaho St.,Idaho St.,Idaho St.,Idaho St.,Idaho State,Idaho State,Idaho State Bengals,Idaho St.,117
Illinois Fighting Illini,Illinois,2264,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois Fighting Illini,Illinois,118
Illinois St Redbirds,Illinois St.,,Illinois St.,Illinois St.,Illinois St.,Illinois St.,Illinois State,Illinois State,Illinois St Redbirds,Illinois St.,119
Illinois-Chicago Flames,Illinois Chicago,,Illinois Chicago,Illinois Chicago,Illinois Chicago,Illinois Chicago,UIC,Illinois-Chicago,UIC Flames,Illinois Chicago,120
Incarnate Word Cardinals,Incarnate Word,,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word Cardinals,Incarnate Word,121
Indiana Hoosiers,Indiana,2481,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana Hoosiers,Indiana,122
IU Indy Jaguars,IUPUI,,IU Indy,IUPUI,IU Indy,IU Indy,IUPUI,IUPUI,IU Indy Jaguars,IUPUI,123
Indiana St Sycamores,Indiana St.,,Indiana St.,Indiana St.,Indiana St.,Indiana St.,Indiana State,Indiana State,Indiana St Sycamores,Indiana State,124
Iona Gaels,Iona,,Iona,Iona 15,Iona,Iona,Iona,Iona,Iona Gaels,Iona,125
Iowa Hawkeyes,Iowa,2196,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa Hawkeyes,Iowa,126
Iowa State Cyclones,Iowa St.,2513,Iowa St.,Iowa St.,Iowa St.,Iowa St.,Iowa State,Iowa State,Iowa State Cyclones,Iowa State,127
