Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,FanDuel,BracketMatrix,
Monmouth-NJ Hawks,Monmouth,,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth Hawks,Monmouth,1
Montana Grizzlies,Montana,,Montana,Montana 14,Montana,Montana,Montana,Montana,Montana Grizzlies,Montana,1
Montana St Bobcats,Montana St.,,Montana St.,Montana St.,Montana St.,Montana St.,Montana State,Montana State,Montana St Bobcats,Montana St.,1
Morehead St Eagles,Morehead St.,,Morehead St.,Morehead St.,Morehead St.,Morehead St.,Morehead State,Morehead State,Morehead St Eagles,Morehead State,1
Morgan St Bears,Morgan St.,,Morgan St.,Morgan St.,Morgan St.,Morgan St.,Morgan State,Morgan State,Morgan St Bears,Morgan St.,1
Mount St Marys Mountaineers,Mount St. Mary%27s,,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mt. St. Mary's Mountaineers,Mount St. Mary's,1
Murray St Racers,Murray St.,,Murray St.,Murray St. 12,Murray St.,Murray St.,Murray State,Murray State,Murray St Racers,Murray St.,1
Navy Midshipmen,Navy,,Navy,Navy,Navy,Navy,Navy,Navy,Navy Midshipmen,Navy,1
NC State Wolfpack,North Carolina St.,,N.C. State,North Carolina St.,N.C. State,North Carolina St.,NC State,NC State,NC State Wolfpack,North Carolina St.,1
UNC Asheville Bulldogs,UNC Asheville,,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville Bulldogs,UNC Asheville,1
UNC Greensboro Spartans,UNC Greensboro,,UNC Greensboro,UNC Greensboro 13,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro Spartans,UNC Greensboro,1
UNC Wilmington Seahawks,UNC Wilmington,,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington Seahawks,NC-Wilmington,1
Nebraska Cornhuskers,Nebraska,,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska Cornhuskers,Nebraska,1
Nebraska Omaha Mavericks,Nebraska Omaha,2546,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha,Omaha,Omaha,Omaha Mavericks,Nebraska Omaha,1
Nevada Wolf Pack,Nevada,,Nevada,Nevada 7,Nevada,Nevada,Nevada,Nevada,Nevada Wolf Pack,Nevada,1
New Hampshire Wildcats,New Hampshire,2286,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire Wildcats,New Hampshire,1
NJIT Highlanders,NJIT,,NJIT,NJIT,NJIT,NJIT,NJIT,NJIT,NJIT Highlanders,NJIT,1
New Mexico Lobos,New Mexico,,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico Lobos,New Mexico,1
New Mexico St Aggies,New Mexico St.,,New Mexico St.,New Mexico St. 12,New Mexico St.,New Mexico St.,New Mexico State,New Mexico State,New Mexico St Aggies,New Mexico St.,1
New Orleans Privateers,New Orleans,,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans Privateers,New Orleans,1
Niagara Purple Eagles,Niagara,,Niagara,Niagara,Niagara,Niagara,Niagara,Niagara,Niagara Purple Eagles,Niagara,1
Nicholls State Colonels,Nicholls St.,,Nicholls,Nicholls St.,Nicholls St.,Nicholls St.,Nicholls State,Nicholls State,Nicholls St Colonels,Nicholls St.,1
North Carolina AT Aggies,North Carolina A%26T,,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T Aggies,North Carolina A&T,1
Norfolk State Spartans,Norfolk St.,,Norfolk St.,Norfolk St.,Norfolk St.,Norfolk St.,Norfolk State,Norfolk State,Norfolk St Spartans,Norfolk State,1
North Alabama Lions,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama Lions,North Alabama,1
North Carolina Tar Heels,North Carolina,2266,North Carolina,North Carolina 2,North Carolina,North Carolina,UNC,North Carolina,North Carolina Tar Heels,North Carolina,0
North Carolina Central Eagles,North Carolina Central,,North Carolina Central,North Carolina Central 16,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central Eagles,North Carolina Central,1
North Dakota Fighting Hawks,North Dakota,,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota Fighting Hawks,North Dakota,1
North Dakota State Bison,North Dakota St.,,North Dakota St.,North Dakota St.,North Dakota St.,North Dakota St.,North Dakota State,North Dakota State,North Dakota St Bison,North Dakota St.,1
North Florida Ospreys,North Florida,,North Florida,North Florida,North Florida,North Florida,North Florida,North Florida,North Florida Ospreys,North Florida,1
North Texas Mean Green,North Texas,,North Texas,North Texas,North Texas,North Texas,North Texas,North Texas,North Texas Mean Green,North Texas,1
Northeastern Huskies,Northeastern,,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern Huskies,Northeastern,1
Northern Arizona Lumberjacks,Northern Arizona,,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona Lumberjacks,Northern Arizona,1
Northern Colorado Bears,Northern Colorado,,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,N Colorado Bears,Northern Colorado,1
Northern Illinois Huskies,Northern Illinois,,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois Huskies,Northern Illinois,1
Northern Iowa Panthers,Northern Iowa,,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa Panthers,Northern Iowa,1
Northern Kentucky Norse,Northern Kentucky,,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky Norse,Northern Kentucky,1
Northwestern Wildcats,Northwestern,,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern Wildcats,Northwestern,1
Northwestern St Demons,Northwestern St.,2216,Northwestern St.,Northwestern St.,Northwestern St.,Northwestern St.,Northwestern State,Northwestern State,Northwestern St Demons,Northwestern St.,1
Notre Dame Fighting Irish,Notre Dame,2285,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame Fighting Irish,Notre Dame,1
Oakland Golden Grizzlies,Oakland,,Oakland,Oakland,Oakland,Oakland,Oakland,Oakland,Oakland Golden Grizzlies,Oakland,1
Ohio Bobcats,Ohio,,Ohio,Ohio,Ohio,Ohio,Ohio,Ohio,Ohio Bobcats,Ohio,1
Ohio St Buckeyes,Ohio St.,2500,Ohio St.,Ohio St. 5,Ohio St.,Ohio St.,Ohio State,Ohio State,Ohio State Buckeyes,Ohio State,1
Oklahoma Sooners,Oklahoma,2178,Oklahoma,Oklahoma 10,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma Sooners,Oklahoma,1
Oklahoma State Cowboys,Oklahoma St.,2243,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma State,Oklahoma State,Oklahoma St Cowboys,Oklahoma State,1
Old Dominion Monarchs,Old Dominion,,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion Monarchs,Old Dominion,1
Oral Roberts Golden Eagles,Oral Roberts,,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts Golden Eagles,Oral Roberts,1
Oregon Ducks,Oregon,,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon Ducks,Oregon,1
Oregon St Beavers,Oregon St.,,Oregon St.,Oregon St.,Oregon St.,Oregon St.,Oregon State,Oregon State,Oregon St Beavers,Oregon St.,1
Pacific Tigers,Pacific,,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific Tigers,Pacific,1
Penn St Nittany Lions,Penn St.,2501,Penn St.,Penn St.,Penn St.,Penn St.,Penn State,Penn State,Penn State Nittany Lions,Penn St.,1
Pennsylvania Quakers,Penn,,Penn,Penn 16,Penn,Penn,Penn,Pennsylvania,Pennsylvania Quakers,Penn,0
Pepperdine Waves,Pepperdine,,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine Waves,Pepperdine,1
Pittsburgh Panthers,Pittsburgh,2279,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pitt,Pittsburgh,Pittsburgh Panthers,Pittsburgh,0
Portland Pilots,Portland,,Portland,Portland,Portland,Portland,Portland,Portland,Portland Pilots,Portland,1
Portland St Vikings,Portland St.,,Portland St.,Portland St.,Portland St.,Portland St.,Portland State,Portland State,Portland St Vikings,Portland State,1
Prairie View AM Panthers,Prairie View A%26M,,Prairie View A&M,Prairie View A&M,Prairie View A&M,Prairie View A&M,Prairie View,Prairie View,Prairie View Panthers,Prairie View A&M,1
Presbyterian Blue Hose,Presbyterian,,Presbyterian,Presbyterian,Presbyterian,Presbyterian,Presbyterian,Presbyterian,Presbyterian Blue Hose,Presbyterian,1
Princeton Tigers,Princeton,,Princeton,Princeton,Princeton,Princeton,Princeton,Princeton,Princeton Tigers,Princeton,1
Providence Friars,Providence,2301,Providence,Providence 10,Providence,Providence,Providence,Providence,Providence Friars,Providence,1
Purdue Boilermakers,Purdue,2294,Purdue,Purdue 2,Purdue,Purdue,Purdue,Purdue,Purdue Boilermakers,Purdue,1
Queens university of charlotte royals,Queens,,Queens,Queens,Queens,Queens,Queens (NC),Queens (NC),Queens University Royals,Queens,
Quinnipiac Bobcats,Quinnipiac,,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac Bobcats,Quinnipiac,1
Radford Highlanders,Radford,,Radford,Radford 16,Radford,Radford,Radford,Radford,Radford Highlanders,Radford,1
Rhode Island Rams,Rhode Island,,Rhode Island,Rhode Island 7,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island Rams,Rhode Island,1
Rice Owls,Rice,,Rice,Rice,Rice,Rice,Rice,Rice,Rice Owls,Rice,1
Richmond Spiders,Richmond,,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond Spiders,Richmond,1
Rider Broncs,Rider,,Rider,Rider,Rider,Rider,Rider,Rider,Rider Broncs,Rider,1
Robert Morris Colonials,Robert Morris,,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris Colonials,Robert Morris,1
Rutgers Scarlet Knights,Rutgers,2210,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers Scarlet Knights,Rutgers,1
Sacramento State Hornets,Sacramento St.,,Sacramento St.,Sacramento St.,Sacramento St.,Sacramento St.,Sacramento State,Sacramento State,Sacramento St Hornets,Sacramento St.,1
Sacred Heart Pioneers,Sacred Heart,,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart Pioneers,Sacred Heart,1
Saint Louis Billikens,Saint Louis,,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis Billikens,Saint Louis,1
Sam Houston St Bearkats,Sam Houston St.,,Sam Houston St.,Sam Houston St.,Sam Houston St.,Sam Houston St.,Sam Houston State,Sam Houston State,Sam Houston St Bearkats,Sam Houston St.,1
Samford Bulldogs,Samford,,Samford,Samford,Samford,Samford,Samford,Samford,Samford Bulldogs,Samford,1
San Diego Toreros,San Diego,,San Diego,San Diego,San Diego,San Diego,San Diego,San Diego,San Diego Toreros,San Diego,1
San Diego St Aztecs,San Diego St.,,San Diego St.,San Diego St. 11,San Diego St.,San Diego St.,San Diego State,San Diego State,San Diego St Aztecs,San Diego State,1
San Francisco Dons,San Francisco,,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco Dons,San Francisco,1
San Jose St Spartans,San Jose St.,,San Jose St.,San Jose St.,San Jose St.,San Jose St.,San Jose State,San Jose State,San José St Spartans,San Jose St.,1
Santa Clara Broncos,Santa Clara,,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara Broncos,Santa Clara,1
SE Missouri St Redhawks,Southeast Missouri St.,,Southeast Missouri,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri State,Southeast Missouri State,SE Missouri St Redhawks,Southeast Missouri St.,1
Seattle Redhawks,Seattle,,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle Redhawks,Seattle,1
Seton Hall Pirates,Seton Hall,2300,Seton Hall,Seton Hall 8,Seton Hall,Seton Hall,Seton Hall,Seton Hall,Seton Hall Pirates,Seton Hall,1
Siena Saints,Siena,,Siena,Siena,Siena,Siena,Siena,Siena,Siena Saints,Siena,1
SIU Edwardsville Cougars,SIU Edwardsville,,SIU Edwardsville,SIU Edwardsville,SIU Edwardsville,SIU Edwardsville,SIU-Edwardsville,SIU Edwardsville,SIU-Edwardsville Cougars,SIU Edwardsville,0
South Alabama Jaguars,South Alabama,,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama Jaguars,South Alabama,1
South Carolina Gamecocks,South Carolina,,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina Gamecocks,South Carolina,1
South Carolina State Bulldogs,South Carolina St.,,South Carolina St.,South Carolina St.,South Carolina St.,South Carolina St.,South Carolina State,South Carolina State,South Carolina St Bulldogs,South Carolina St.,1
South Carolina Upstate Spartans,USC Upstate,,USC Upstate,USC Upstate,USC Upstate,USC Upstate,USC Upstate,South Carolina Upstate,South Carolina Upstate Spartans,USC Upstate,0
South Dakota Coyotes,South Dakota,,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota Coyotes,South Dakota,1
South Dakota State Jackrabbits,South Dakota St.,,South Dakota St.,South Dakota St. 12,South Dakota St.,South Dakota St.,South Dakota State,South Dakota State,South Dakota St Jackrabbits,South Dakota State,1
South Florida Bulls,South Florida,2510,South Florida,South Florida,South Florida,South Florida,South Florida,South Florida,South Florida Bulls,South Florida,1
Southeastern Louisiana Lions,Southeastern Louisiana,,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,SE Louisiana Lions,Southeastern Louisiana,1
Southern Jaguars,Southern,,Southern,Southern,Southern,Southern,Southern,Southern,Southern Jaguars,Southern,1
Southern California Trojans,USC,,USC,USC,USC,USC,USC,Southern California,USC Trojans,USC,0
Southern Illinois Salukis,Southern Illinois,,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois Salukis,Southern Illinois,1
Southern Indiana Screaming Eagles,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana Screaming Eagles,Southern Indiana,
Southern Methodist Mustangs,SMU,2349,SMU,SMU,SMU,SMU,SMU,Southern Methodist,SMU Mustangs,SMU,0
Southern Miss Golden Eagles,Southern Miss,,Southern Miss,Southern Miss,Southern Miss,Southern Miss,Southern Miss,Southern Mississippi,Southern Miss Golden Eagles,Southern Miss,0
Southern Utah Thunderbirds,Southern Utah,,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah Thunderbirds,Southern Utah,1
St Bonaventure Bonnies,St. Bonaventure,,St. Bonaventure,St. Bonaventure 11,St. Bonaventure,St. Bonaventure,St. Bonaventure,St. Bonaventure,St. Bonaventure Bonnies,St. Bonaventure,1
St Francis PA Red Flash,St. Francis PA,,St. Francis PA,St. Francis PA,Saint Francis,St. Francis PA,Saint Francis (PA),Saint Francis (PA),St. Francis (PA) Red Flash,St. Francis PA,1
St Thomas Mn Tommies,St. Thomas,,St. Thomas,St. Thomas,St. Thomas,St. Thomas,St. Thomas (MN),St. Thomas (MN),St. Thomas (MN) Tommies,St. Thomas,1
St Johns Red Storm,St. John%27s,2442,St. John's,St. John's,St. John's,St. John's,St. John's (NY),St. John's (NY),St. John's Red Storm,St. John's,1
Saint Josephs Hawks,Saint Joseph%27s,,Saint Joseph's,Saint Joseph's,Saint Joseph's,Saint Joseph's,St. Joseph's,Saint Joseph's,Saint Joseph's Hawks,Saint Joseph's,0
Saint Marys Gaels,Saint Mary%27s,,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's (CA),Saint Mary's Gaels,Saint Mary's,0
Saint Peters Peacocks,Saint Peter%27s,,Saint Peter's,Saint Peter's,Saint Peter's,Saint Peter's,St. Peter's,Saint Peter's,Saint Peter's Peacocks,Saint Peter's,0
Stanford Cardinal,Stanford,,Stanford,Stanford,Stanford,Stanford,Stanford,Stanford,Stanford Cardinal,Stanford,1
Stephen F Austin Lumberjacks,Stephen F. Austin,,Stephen F. Austin,Stephen F. Austin 14,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin Lumberjacks,Stephen F. Austin,1
Stetson Hatters,Stetson,,Stetson,Stetson,Stetson,Stetson,Stetson,Stetson,Stetson Hatters,Stetson,1
Stonehill Skyhawks,Stonehill,,Stonehill,Stonehill,Stonehill,Stonehill,Stonehill,Stonehill,Stonehill Skyhawks,Stonehill,
Stony Brook Seawolves,Stony Brook,2443,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook Seawolves,Stony Brook,1
Syracuse Orange,Syracuse,2186,Syracuse,Syracuse 11,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse Orange,Syracuse,1
tarleton state texans,Tarleton St.,,Tarleton St.,Tarleton St.,Tarleton St.,Tarleton St.,Tarleton State,Tarleton State,Tarleton State Texans,Tarleton St.,1
Temple Owls,Temple,2177,Temple,Temple,Temple,Temple,Temple,Temple,Temple Owls,Temple,1
Tenn-Martin Skyhawks,Tennessee Martin,,Tennessee Martin,Tennessee Martin,Tennessee Martin,Tennessee Martin,UT-Martin,Tennessee-Martin,Tenn-Martin Skyhawks,Tennessee Martin,0
Tennessee Volunteers,Tennessee,,Tennessee,Tennessee 3,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee Volunteers,Tennessee,1
Tennessee St Tigers,Tennessee St.,,Tennessee St.,Tennessee St.,Tennessee St.,Tennessee St.,Tennessee State,Tennessee State,Tennessee St Tigers,Tennessee St.,1
Tennessee Tech Golden Eagles,Tennessee Tech,,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech Golden Eagles,Tennessee Tech,1
Texas Longhorns,Texas,2380,Texas,Texas 10,Texas,Texas,Texas,Texas,Texas Longhorns,Texas,1
Texas AM Aggies,Texas A%26M,,Texas A&M,Texas A&M 7,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M Aggies,Texas A&M,1
Texas AM CC Islanders,Texas A%26M Corpus Chris,,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,Texas A&M-CC Islanders,Texas A&M Corpus Chris,1
Texas AM Commerce Lions,Texas A%26M Commerce,Texas A%26M Commerce,Texas A&M Commerce,Texas A&M Commerce,Texas A&M Commerce,Texas A&M Commerce,Texas A&M-Commerce,Texas A&M-Commerce,Texas A&M-Commerce Lions,Texas A&M Commerce,
texas christian horned frogs,TCU,2291,TCU,TCU 6,TCU,TCU,TCU,TCU,TCU Horned Frogs,TCU,1
Texas Rio Grande Valley Vaqueros,UT Rio Grande Valley,,UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley,Texas-Rio Grande Valley,Texas-Rio Grande Valley,UT Rio Grande Valley Vaqueros,UT Rio Grande Valley,1
Texas Southern Tigers,Texas Southern,,Texas Southern,Texas Southern 16,Texas Southern,Texas Southern,Texas Southern,Texas Southern,Texas Southern Tigers,Texas Southern,1
Texas State Bobcats,Texas St.,,Texas St.,Texas St.,Texas St.,Texas St.,Texas State,Texas State,Texas State Bobcats,Texas St.,1
Texas Tech Red Raiders,Texas Tech,2319,Texas Tech,Texas Tech 3,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech Red Raiders,Texas Tech,1
Texas Arlington Mavericks,UT Arlington,,UT Arlington,UT Arlington,UT Arlington,UT Arlington,UT Arlington,UT Arlington,UT-Arlington Mavericks,UT Arlington,1
Texas El Paso Miners,UTEP,,UTEP,UTEP,UTEP,UTEP,UTEP,UTEP,UTEP Miners,UTEP,1
Texas San Antonio Roadrunners,UTSA,,UTSA,UTSA,UTSA,UTSA,UTSA,UTSA,UTSA Roadrunners,UTSA,1
The Citadel Bulldogs,The Citadel,,The Citadel,The Citadel,The Citadel,The Citadel,The Citadel,The Citadel,The Citadel Bulldogs,The Citadel,1
Toledo Rockets,Toledo,,Toledo,Toledo,Toledo,Toledo,Toledo,Toledo,Toledo Rockets,Toledo,1
Towson Tigers,Towson,,Towson,Towson,Towson,Towson,Towson,Towson,Towson Tigers,Towson,1
Troy Trojans,Troy,,Troy,Troy,Troy,Troy,Troy,Troy,Troy Trojans,Troy,1
Tulane Green Wave,Tulane,2367,Tulane,Tulane,Tulane,Tulane,Tulane,Tulane,Tulane Green Wave,Tulane,1
Tulsa Golden Hurricane,Tulsa,2512,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa Golden Hurricane,Tulsa,1
UAB Blazers,UAB,,UAB,UAB,UAB,UAB,UAB,UAB,UAB Blazers,UAB,1
UC Davis Aggies,UC Davis,,UC Davis,UC Davis,UC Davis,UC Davis,UC-Davis,UC Davis,UC Davis Aggies,UC Davis,0
UC Irvine Anteaters,UC Irvine,,UC Irvine,UC Irvine,UC Irvine,UC Irvine,UC-Irvine,UC Irvine,UC Irvine Anteaters,UC Irvine,0
UC San Diego tritons,UC San Diego,,UC San Diego,UC San Diego,UC San Diego,UC San Diego,UC-San Diego,UC San Diego,UC San Diego Tritons,UC San Diego,0
UC Riverside Highlanders,UC Riverside,,UC Riverside,UC Riverside,UC Riverside,UC Riverside,UC-Riverside,UC Riverside,UC Riverside Highlanders,UC Riverside,0
UC Santa Barbara Gauchos,UC Santa Barbara,,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,UCSB,UC Santa Barbara,UC Santa Barbara Gauchos,UC Santa Barbara,0
UCLA Bruins,UCLA,,UCLA,UCLA 11,UCLA,UCLA,UCLA,UCLA,UCLA Bruins,UCLA,1
UL Lafayette Ragin Cajuns,Louisiana Lafayette,,Louisiana,Louisiana Lafayette,Louisiana,Louisiana Lafayette,Louisiana,Louisiana,Louisiana Ragin' Cajuns,Louisiana Lafayette,1
Kansas City roos,UMKC,,Kansas City,UMKC,UMKC,UMKC,Kansas City,Kansas City,UMKC Kangaroos,UMKC,1
UNLV Rebels,UNLV,,UNLV,UNLV,UNLV,UNLV,UNLV,Nevada-Las Vegas,UNLV Rebels,UNLV,0
Utah Utes,Utah,,Utah,Utah,Utah,Utah,Utah,Utah,Utah Utes,Utah,1
Utah St Aggies,Utah St.,,Utah St.,Utah St.,Utah St.,Utah St.,Utah State,Utah State,Utah State Aggies,Utah State,1
Utah Tech Trailblazers,Utah Tech,,Utah Tech,Utah Tech,Utah Tech,Utah Tech,Utah Tech,Utah Tech,Utah Tech Trailblazers,Utah Tech,
Utah Valley Wolverines,Utah Valley,,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley Wolverines,Utah Valley,1
Valparaiso Beacons,Valparaiso,,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso Beacons,Valparaiso,1
Vanderbilt Commodores,Vanderbilt,,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt Commodores,Vanderbilt,1
VCU Rams,VCU,,VCU,VCU,VCU,VCU,VCU,Virginia Commonwealth,VCU Rams,VCU,0
Vermont Catamounts,Vermont,2314,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont Catamounts,Vermont,1
Villanova Wildcats,Villanova,2561,Villanova,Villanova 1,Villanova,Villanova,Villanova,Villanova,Villanova Wildcats,Villanova,1
Virginia Cavaliers,Virginia,2315,Virginia,Virginia 1,Virginia,Virginia,Virginia,Virginia,Virginia Cavaliers,Virginia,1
Virginia Tech Hokies,Virginia Tech,2414,Virginia Tech,Virginia Tech 8,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech Hokies,Virginia Tech,1
VMI Keydets,VMI,,VMI,VMI,VMI,VMI,VMI,VMI,VMI Keydets,VMI,1
Wagner Seahawks,Wagner,,Wagner,Wagner,Wagner,Wagner,Wagner,Wagner,Wagner Seahawks,Wagner,1
Wake Forest Demon Deacons,Wake Forest,2188,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest Demon Deacons,Wake Forest,1
Washington Huskies,Washington,,Washington,Washington,Washington,Washington,Washington,Washington,Washington Huskies,Washington,1
Washington St Cougars,Washington St.,,Washington St.,Washington St.,Washington St.,Washington St.,Washington State,Washington State,Washington St Cougars,Washington St.,1
Weber St Wildcats,Weber St.,,Weber St.,Weber St.,Weber St.,Weber St.,Weber State,Weber State,Weber State Wildcats,Weber St.,1
West Virginia Mountaineers,West Virginia,2283,West Virginia,West Virginia 5,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia Mountaineers,West Virginia,1
Western Carolina Catamounts,Western Carolina,,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina Catamounts,Western Carolina,1
Western Illinois Leathernecks,Western Illinois,,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois Leathernecks,Western Illinois,1
Western Kentucky Hilltoppers,Western Kentucky,,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky Hilltoppers,Western Kentucky,1
Western Michigan Broncos,Western Michigan,,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan Broncos,Western Michigan,1
Wichita St Shockers,Wichita St.,2374,Wichita St.,Wichita St. 4,Wichita St.,Wichita St.,Wichita State,Wichita State,Wichita St Shockers,Wichita St.,1
William- Mary Tribe,William %26 Mary,,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary Tribe,William & Mary,1
Winthrop Eagles,Winthrop,,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop Eagles,Winthrop,1
Milwaukee Panthers,Milwaukee,,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee Panthers,Milwaukee,1
Wisconsin Badgers,Wisconsin,2437,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin Badgers,Wisconsin,1
Wofford Terriers,Wofford,,Wofford,Wofford,Wofford,Wofford,Wofford,Wofford,Wofford Terriers,Wofford,1
Wright St Raiders,Wright St.,,Wright St.,Wright St. 14,Wright St.,Wright St.,Wright State,Wright State,Wright St Raiders,Wright St.,1
