Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
159,Mercer,SC,+0.29,105.2,105,104.9,240,72.6,35,160,+0.28,105.1,105,104.8
160,Little Rock,SB,+0.25,105.3,104,105.0,245,67.5,256,161,+0.28,105.3,102,105.0
161,Drexel,CAA,+0.07,102.6,148,102.5,180,65.5,316,162,+0.06,102.4,151,102.4
162,East Tennessee St.,SC,-0.05,98.7,228,98.7,117,68.0,235,158,+0.38,100.4,197,100.0
163,Charlotte,CUSA,-0.34,99.8,211,100.1,140,63.0,354,163,-0.33,99.7,212,100.0
164,Monmouth,MAAC,-0.36,101.5,175,101.8,166,76.6,5,164,-0.34,101.4,173,101.7
165,Oral Roberts,Sum,-0.46,107.9,72,108.4,310,71.5,65,165,-0.43,107.9,73,108.3
166,Louisiana,SB,-0.60,98.0,242,98.6,115,72.4,40,166,-0.58,97.9,243,98.5
167,Navy,Pat,-0.74,102.7,145,103.4,200,65.7,313,167,-0.73,102.6,147,103.3
168,Eastern Kentucky,OVC,-0.87,98.2,239,99.0,122,76.3,6,168,-0.86,98.1,240,99.0
169,Montana,BSky,-0.99,96.9,267,97.9,102,65.1,333,169,-1.00,96.8,267,97.8
170,UTEP,CUSA,-1.06,101.4,176,102.5,178,67.6,250,170,-1.07,101.3,177,102.4
171,Saint Peter's,MAAC,-1.20,96.9,268,98.1,107,67.6,251,171,-1.12,96.8,268,97.9
172,Cleveland St.,Horz,-1.41,97.7,253,99.1,123,66.8,288,172,-1.41,97.6,253,99.0
173,South Dakota,Sum,-1.45,102.5,150,103.9,209,68.7,201,173,-1.45,102.4,152,103.9
174,Hofstra,CAA,-1.48,101.5,173,103.0,187,69.4,160,174,-1.47,101.4,172,102.9
175,Bryant,NEC,-1.62,102.7,144,104.3,218,76.9,3,175,-1.62,102.6,145,104.3
176,Fresno St.,MWC,-1.85,100.4,202,102.2,173,66.5,295,176,-1.68,100.3,200,102.0
177,UMBC,AE,-1.96,97.8,251,99.7,131,69.2,166,177,-1.96,97.7,250,99.7
178,Southern Utah,BSky,-2.17,104.7,109,106.9,288,70.8,90,178,-2.16,104.7,111,106.8
179,Saint Joseph's,A10,-2.51,102.3,155,104.8,238,74.2,16,186,-2.97,102.6,146,105.6
180,La Salle,A10,-2.53,97.9,248,100.4,144,68.7,198,179,-2.29,98.5,230,100.8
181,Austin Peay,OVC,-2.63,103.6,134,106.2,268,68.8,197,180,-2.59,103.4,135,106.0
182,UNC Wilmington,CAA,-2.82,101.9,163,104.7,234,69.2,165,185,-2.92,101.3,178,104.2
183,Chattanooga,SC,-2.82,102.4,151,105.2,254,67.7,244,181,-2.78,102.3,155,105.0
184,UC Davis,BW,-2.82,100.4,201,103.2,194,71.0,83,183,-2.84,100.2,201,103.1
185,Florida Atlantic,CUSA,-2.85,100.6,192,103.5,201,67.0,279,182,-2.84,100.5,192,103.4
186,UT Arlington,SB,-2.88,101.5,174,104.4,220,71.6,60,184,-2.88,101.4,174,104.3
187,Western Carolina,SC,-2.99,103.2,139,106.2,267,71.4,66,195,-3.42,102.8,143,106.2
188,Army,Pat,-3.02,98.0,246,101.0,151,68.4,216,187,-2.99,97.8,247,100.8
189,San Diego,WCC,-3.02,97.6,257,100.6,147,71.0,82,188,-3.03,97.5,256,100.5
190,Lafayette,Pat,-3.16,104.1,129,107.2,297,69.1,172,189,-3.15,104.0,130,107.1
191,Montana St.,BSky,-3.29,98.8,224,102.1,170,68.8,196,191,-3.31,98.8,223,102.1
192,Southern Illinois,MVC,-3.31,101.3,179,104.6,231,68.6,205,192,-3.31,101.2,179,104.5
193,Penn,Ivy,-3.31,100.6,193,103.9,208,70.1,128,190,-3.30,100.5,193,103.8
194,Valparaiso,MVC,-3.34,98.3,238,101.6,161,68.7,202,193,-3.34,98.2,239,101.5
