,Date,TypeofGame,Tm,Conference,Opp,HomeAway,Result_x,Tm_AdjO,Tm_AdjD,Tm_O_PPP,Tm_O_EFG,Tm_O_TO,Tm_O_OR,Tm_O_FTR,Tm_D_PPP,Tm_D_EFG,Tm_D_TO,Tm_D_OR,Tm_D_FTR,G-Score,Conference2,  ,Year,Tempo,muid,Tm_coach,Opp_coach,Lead,AvgLead,gamestats, ,EMRating,Away,Home,Date_zero,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,WinorLose,Score,tm_pts,opp_pts,tm_ptdiff,is_home,is_neutral,tm_hca,Team,Date_y,H/A/N,Opponent,Result_y,Diff,ATS,ATSVegas,OverUnder,OverUnderVegas,Year_Date,GameID,Tm_y,opp_code,tm_code,ATSvalue,pace,tm_offensive_rating,tm_defensive_rating,tm_net_eff,tm_mod_AdjO,tm_mod_AdjD,tm_mod_net_eff,tm_margin_net_eff,season,season_tm,season_opp,Reg_dif,Over_dif
152,2023-11-25,0,Belmont,MVC,Penn,A,"W, 84-79",113.5,106.7,116.2,59.8,16.6,29.4,31.1,109.3,50.0,11.1,29.3,29.9,67.1,Ivy,1,2024,64.2,BelmontPenn11-25,Casey Alexander,Steve Donahue,4.65765,0.451188,"['11/25/2023', 225, 'Belmont', 'Penn', 31, 61, 11, 29, 11, 19, 10, 29, 39, 16, 6, 3, 12, 18, 84, 31, 67, 5, 18, 12, 20, 12, 24, 36, 15, 8, 1, 8, 19, 79, 72.2625, '', 'Belmont', 'Penn']",1.0,6.799999999999997,Belmont,Penn,11/25/2023,20231125,-3.0999999999999943,106.5,109.6,73.8,-2.3000000000000114,104.6,106.9,67.7,W,84-79,84,79,5,1,0,1,Belmont,11/25,Away,U Penn,W by 5,8.0,8.0,3.0,5.0,158.0,11/25/2023,11/25/2023Belmont Bruins,Belmont Bruins,228,22,8.0,64.2,113.5,106.7,6.799999999999997,113.5,106.7,6.799999999999997,14.799999999999997,2024,2024_22,2024_228,-12.2,-13.2
153,2023-11-25,0,Penn,Ivy,Belmont,H,"L, 84-79",102.7,117.2,109.3,50.0,11.1,29.3,29.9,116.2,59.8,16.6,29.4,31.1,18.0,MVC,2,2024,64.2,BelmontPenn11-25,Steve Donahue,Casey Alexander,-4.65765,0.353175,"['11/25/2023', 225, 'Belmont', 'Penn', 31, 61, 11, 29, 11, 19, 10, 29, 39, 16, 6, 3, 12, 18, 84, 31, 67, 5, 18, 12, 20, 12, 24, 36, 15, 8, 1, 8, 19, 79, 72.2625, '', 'Belmont', 'Penn']",2.0,-14.5,Belmont,Penn,11/25/2023,20231125,-2.3000000000000114,104.6,106.9,67.7,-3.0999999999999943,106.5,109.6,73.8,L,84-79,79,84,-5,1,0,1,Penn,11/25,Home,Belmont,L by 5,-8.0,-8.0,-3.0,5.0,158.0,11/25/2023,11/25/2023Pennsylvania Quakers,Pennsylvania Quakers,22,228,-8.0,64.2,102.7,117.2,-14.5,102.7,117.2,-14.5,-22.5,2024,2024_228,2024_22,-14.1,-13.2
154,2023-11-25,0,Bethune Cookman,SWAC,Delaware St.,N,"L, 72-64",88.3,112.4,91.6,50.0,22.9,24.2,21.4,103.1,52.8,21.5,28.6,39.6,5.9,MEAC,1,2024,69.8,Bethune CookmanDelaware St.11-25,Reggie Theus,Stan Waterman,-2.94451,0.153046,"['11/25/2023', 200, 'Bethune Cookman', 'Delaware St.', 24, 56, 8, 22, 8, 12, 8, 20, 28, 10, 11, 1, 16, 23, 64, 26, 53, 4, 14, 16, 21, 8, 25, 33, 11, 11, 2, 15, 15, 72, 69.8375, '', 'Delaware St.', 'Bethune Cookman']",0.0,-24.10000000000001,Bethune Cookman,Delaware St.,11/25/2023,20231125,-18.5,93.4,111.9,70.2,-13.900000000000006,92.8,106.7,71.4,L,72-64,64,72,-8,1,1,0,Bethune Cookman,11/25,Neutral,Delaware St,L by 8,-9.5,-9.5,-1.5,-6.0,142.0,11/25/2023,11/25/2023Bethune Cookman Wildcats,Bethune Cookman Wildcats,68,23,-9.5,69.8,88.3,112.4,-24.10000000000001,88.3,112.4,-24.10000000000001,-33.60000000000001,2024,2024_23,2024_68,-1.5,-6.1
155,2023-11-25,0,Delaware St.,MEAC,Bethune Cookman,N,"W, 72-64",93.9,99.6,103.1,52.8,21.5,28.6,39.6,91.6,50.0,22.9,24.2,21.4,33.8,SWAC,2,2024,69.8,Bethune CookmanDelaware St.11-25,Stan Waterman,Reggie Theus,2.94451,0.150521,"['11/25/2023', 200, 'Bethune Cookman', 'Delaware St.', 24, 56, 8, 22, 8, 12, 8, 20, 28, 10, 11, 1, 16, 23, 64, 26, 53, 4, 14, 16, 21, 8, 25, 33, 11, 11, 2, 15, 15, 72, 69.8375, '', 'Delaware St.', 'Bethune Cookman']",0.0,-5.699999999999989,Bethune Cookman,Delaware St.,11/25/2023,20231125,-13.900000000000006,92.8,106.7,71.4,-18.5,93.4,111.9,70.2,W,72-64,72,64,8,1,1,0,Delaware St.,11/25,Neutral,Beth-Cook,W by 8,9.5,9.5,1.5,-6.0,142.0,11/25/2023,11/25/2023Delaware State Hornets,Delaware State Hornets,23,68,9.5,69.8,93.9,99.6,-5.699999999999989,93.9,99.6,-5.699999999999989,3.8000000000000114,2024,2024_68,2024_23,-1.5,-6.1
188,2023-11-25,0,Bowling Green,MAC,Lipscomb,N,"W, 82-61",116.7,84.9,118.3,69.0,15.9,8.7,8.6,88.0,44.4,14.4,21.4,17.5,97.5,ASun,1,2024,69.3,Bowling GreenLipscomb11-25,Todd Simon,Lennie Acuff,13.5677,0.53684,"['11/25/2023', 200, 'Bowling Green', 'Lipscomb', 35, 58, 10, 18, 2, 5, 2, 33, 35, 14, 6, 2, 11, 14, 82, 25, 63, 6, 25, 5, 11, 9, 21, 30, 11, 5, 4, 10, 11, 61, 69.3, '', 'Bowling Green', 'Lipscomb']",0.0,31.799999999999997,Bowling Green,Lipscomb,11/25/2023,20231125,-6.199999999999989,98.9,105.1,71.4,1.5,107.4,105.9,71.9,W,82-61,82,61,21,1,1,0,Bowling Green,11/25,Neutral,Lipscomb,W by 21,24.5,24.5,3.5,-11.5,154.5,11/25/2023,11/25/2023Bowling Green Falcons,Bowling Green Falcons,146,28,24.5,69.3,116.7,84.9,31.799999999999997,116.7,84.9,31.799999999999997,56.3,2024,2024_28,2024_146,-15.5,-12.0
189,2023-11-25,0,Lipscomb,ASun,Bowling Green,N,"L, 82-61",84.9,122.7,88.0,44.4,14.4,21.4,17.5,118.3,69.0,15.9,8.7,8.6,1.4,MAC,2,2024,69.3,Bowling GreenLipscomb11-25,Lennie Acuff,Todd Simon,-13.5677,0.327438,"['11/25/2023', 200, 'Bowling Green', 'Lipscomb', 35, 58, 10, 18, 2, 5, 2, 33, 35, 14, 6, 2, 11, 14, 82, 25, 63, 6, 25, 5, 11, 9, 21, 30, 11, 5, 4, 10, 11, 61, 69.3, '', 'Bowling Green', 'Lipscomb']",1.0,-37.8,Bowling Green,Lipscomb,11/25/2023,20231125,1.5,107.4,105.9,71.9,-6.199999999999989,98.9,105.1,71.4,L,82-61,61,82,-21,1,1,0,Lipscomb,11/25,Neutral,Bowling Grn,L by 21,-24.5,-24.5,-3.5,-11.5,154.5,11/25/2023,11/25/2023Lipscomb Bisons,Lipscomb Bisons,28,146,-24.5,69.3,84.9,122.7,-37.8,84.9,122.7,-37.8,-62.3,2024,2024_146,2024_28,-14.2,-12.0
206,2023-11-25,0,Brown,Ivy,UMKC,N,"W, 93-83",112.6,117.5,120.2,65.1,19.4,29.6,64.2,107.2,54.3,23.3,43.2,20.0,38.0,Sum,1,2024,68.8,BrownUMKC11-25,Mike Martin,Marvin Menzies,1.7231,0.217439,"['11/25/2023', 225, 'Brown', 'UMKC', 31, 53, 7, 15, 24, 34, 8, 21, 29, 16, 8, 4, 15, 15, 93, 31, 70, 14, 37, 7, 14, 16, 19, 35, 17, 6, 3, 18, 27, 83, 77.4, '', 'Brown', 'UMKC']",3.0,-4.900000000000006,Brown,UMKC,11/25/2023,20231125,-5.700000000000003,97.2,102.9,71.7,-10.299999999999997,97.5,107.8,65.9,W,93-83,93,83,10,1,1,0,Brown,11/25,Neutral,Kansas City,W by 10,6.5,6.5,-3.5,39.0,137.0,11/25/2023,11/25/2023Brown Bears,Brown Bears,318,30,6.5,68.8,112.6,117.5,-4.900000000000006,112.6,117.5,-4.900000000000006,1.5999999999999943,2024,2024_30,2024_318,6.3,4.8
207,2023-11-25,0,UMKC,Sum,Brown,N,"L, 93-83",113.2,121.6,107.2,54.3,23.3,43.2,20.0,120.2,65.1,19.4,29.6,64.2,30.5,Ivy,2,2024,68.8,BrownUMKC11-25,Marvin Menzies,Mike Martin,-1.7231,0.491684,"['11/25/2023', 225, 'Brown', 'UMKC', 31, 53, 7, 15, 24, 34, 8, 21, 29, 16, 8, 4, 15, 15, 93, 31, 70, 14, 37, 7, 14, 16, 19, 35, 17, 6, 3, 18, 27, 83, 77.4, '', 'Brown', 'UMKC']",0.0,-8.399999999999991,Brown,UMKC,11/25/2023,20231125,-10.299999999999997,97.5,107.8,65.9,-5.700000000000003,97.2,102.9,71.7,L,93-83,83,93,-10,1,1,0,UMKC,11/25,Neutral,Brown,L by 10,-6.5,-6.5,3.5,39.0,137.0,11/25/2023,11/25/2023Kansas City roos,Kansas City roos,30,318,-6.5,68.8,113.2,121.6,-8.399999999999991,113.2,121.6,-8.399999999999991,-14.899999999999991,2024,2024_318,2024_30,3.2,4.8
222,2023-11-25,0,Bucknell,Pat,Marist,A,"L, 73-49",83.6,122.5,80.2,34.7,18.0,29.3,15.3,119.5,68.0,21.3,27.3,12.0,1.2,MAAC,1,2024,61.1,BucknellMarist11-25,John Griffin,John Dunne,-12.5563,0.457491,"['11/25/2023', 200, 'Bucknell', 'Marist', 17, 59, 7, 35, 8, 9, 12, 16, 28, 11, 7, 2, 11, 10, 49, 28, 50, 12, 23, 5, 6, 6, 29, 35, 14, 7, 5, 13, 14, 73, 61.0625, '', 'Marist', 'Bucknell']",0.0,-38.900000000000006,Bucknell,Marist,11/25/2023,20231125,-13.099999999999994,93.9,107.0,67.9,-7.799999999999997,97.5,105.3,66.6,L,73-49,49,73,-24,1,0,1,Bucknell,11/25,Away,Marist,L by 24,-17.5,-17.5,6.5,-8.5,130.5,11/25/2023,11/25/2023Bucknell Bison,Bucknell Bison,159,32,-17.5,61.1,83.6,122.5,-38.900000000000006,83.6,122.5,-38.900000000000006,-56.400000000000006,2024,2024_32,2024_159,3.2,2.0
223,2023-11-25,0,Marist,MAAC,Bucknell,H,"W, 73-49",109.5,91.8,119.5,68.0,21.3,27.3,12.0,80.2,34.7,18.0,29.3,15.3,88.3,Pat,2,2024,61.1,BucknellMarist11-25,John Dunne,John Griffin,12.5563,0.100723,"['11/25/2023', 200, 'Bucknell', 'Marist', 17, 59, 7, 35, 8, 9, 12, 16, 28, 11, 7, 2, 11, 10, 49, 28, 50, 12, 23, 5, 6, 6, 29, 35, 14, 7, 5, 13, 14, 73, 61.0625, '', 'Marist', 'Bucknell']",2.0,17.700000000000003,Bucknell,Marist,11/25/2023,20231125,-7.799999999999997,97.5,105.3,66.6,-13.099999999999994,93.9,107.0,67.9,W,73-49,73,49,24,1,0,1,Marist,11/25,Home,Bucknell,W by 24,17.5,17.5,-6.5,-8.5,130.5,11/25/2023,11/25/2023Marist Red Foxes,Marist Red Foxes,32,159,17.5,61.1,109.5,91.8,17.700000000000003,109.5,91.8,17.700000000000003,35.2,2024,2024_159,2024_32,3.2,2.0
274,2023-11-25,0,California,P12,San Diego St.,N,"L, 76-67",104.1,96.3,91.7,38.2,19.2,40.4,25.0,104.0,39.5,6.8,18.4,64.9,71.2,MWC,1,2024,64.9,CaliforniaSan Diego St.11-25,Mark Madsen,Brian Dutcher,-3.85385,0.892388,"['11/25/2023', 225, 'California', 'San Diego St.', 23, 72, 9, 38, 12, 18, 21, 31, 52, 7, 3, 1, 14, 25, 67, 20, 57, 5, 19, 31, 37, 7, 31, 38, 7, 8, 1, 5, 15, 76, 73.0625, '', 'San Diego St.', 'California']",0.0,7.799999999999997,California,San Diego St.,11/25/2023,20231125,-1.8000000000000114,105.6,107.4,68.2,20.700000000000003,114.2,93.5,69.5,L,76-67,67,76,-9,1,1,0,California,11/25,Neutral,San Diego St,L by 9,4.5,4.5,13.5,1.5,141.5,11/25/2023,11/25/2023California Golden Bears,California Golden Bears,259,40,4.5,64.9,104.1,96.3,7.799999999999997,104.1,96.3,7.799999999999997,12.299999999999997,2024,2024_40,2024_259,-3.3,-1.3
275,2023-11-25,0,San Diego St.,MWC,California,N,"W, 76-67",102.0,89.3,104.0,39.5,6.8,18.4,64.9,91.7,38.2,19.2,40.4,25.0,82.3,P12,2,2024,64.9,CaliforniaSan Diego St.11-25,Brian Dutcher,Mark Madsen,3.85385,0.581559,"['11/25/2023', 225, 'California', 'San Diego St.', 23, 72, 9, 38, 12, 18, 21, 31, 52, 7, 3, 1, 14, 25, 67, 20, 57, 5, 19, 31, 37, 7, 31, 38, 7, 8, 1, 5, 15, 76, 73.0625, '', 'San Diego St.', 'California']",3.0,12.700000000000003,California,San Diego St.,11/25/2023,20231125,20.700000000000003,114.2,93.5,69.5,-1.8000000000000114,105.6,107.4,68.2,W,76-67,76,67,9,1,1,0,San Diego St.,11/25,Neutral,California,W by 9,-4.5,-4.5,-13.5,1.5,141.5,11/25/2023,11/25/2023San Diego St Aztecs,San Diego St Aztecs,40,259,-4.5,64.9,102.0,89.3,12.700000000000003,102.0,89.3,12.700000000000003,8.200000000000003,2024,2024_259,2024_40,-4.2,-1.3
288,2023-11-25,0,Canisius,MAAC,Western Kentucky,N,"W, 85-77",107.7,104.3,108.9,50.8,17.9,31.6,50.0,98.6,50.0,19.2,32.4,34.4,59.1,CUSA,1,2024,78.1,CanisiusWestern Kentucky11-25,Reggie Witherspoon,Steve Lutz,0.728379,0.441152,"['11/25/2023', 200, 'Canisius', 'Western Kentucky', 27, 62, 9, 23, 22, 31, 12, 25, 37, 17, 9, 3, 14, 19, 85, 31, 64, 2, 10, 13, 22, 12, 26, 38, 9, 5, 2, 15, 24, 77, 78.0875, '', 'Canisius', 'Western Kentucky']",6.0,3.4000000000000057,Canisius,Western Kentucky,11/25/2023,20231125,-4.599999999999994,99.4,104.0,70.1,1.1000000000000085,101.2,100.1,74.2,W,85-77,85,77,8,1,1,0,Canisius,11/25,Neutral,W Kentucky,W by 8,14.5,14.5,6.5,15.0,147.0,11/25/2023,11/25/2023Canisius Golden Griffins,Canisius Golden Griffins,350,42,14.5,78.1,107.7,104.3,3.4000000000000057,107.7,104.3,3.4000000000000057,17.900000000000006,2024,2024_42,2024_350,3.3,4.6
