Team,AdjEM,AdjOE,AdjDE
Tulane,-8.899999999999991,93.4,102.3
Fairfield,-8.700000000000003,90.7,99.4
Central Michigan,-9.400000000000006,96.6,106.0
Northern Illinois,-9.099999999999994,93.2,102.3
Rice,-9.400000000000006,93.6,103.0
Portland,-9.399999999999991,93.7,103.1
Seattle,-9.399999999999991,92.9,102.3
Lamar,-9.100000000000009,89.1,98.2
Northern Arizona,-10.200000000000003,96.3,106.5
North Carolina Central,-10.0,94.6,104.6
Florida A&M,-9.900000000000006,93.3,103.2
Charleston Southern,-9.799999999999997,90.8,100.6
Green Bay,-10.299999999999997,95.9,106.2
Troy,-10.099999999999994,93.4,103.5
High Point,-10.400000000000006,94.6,105.0
Stony Brook,-9.799999999999997,88.2,98.0
Morehead St.,-10.400000000000006,93.6,104.0
Oakland,-10.599999999999994,92.7,103.3
Gardner Webb,-11.200000000000003,93.7,104.9
Wagner,-11.600000000000009,94.8,106.4
Louisiana Monroe,-11.299999999999997,91.9,103.2
Texas A&M Corpus Chris,-11.299999999999997,90.9,102.2
Cal Poly,-11.900000000000006,95.0,106.9
Utah Valley,-11.299999999999997,89.4,100.7
Sam Houston St.,-11.599999999999994,91.7,103.3
Arkansas St.,-11.700000000000003,92.5,104.2
Bucknell,-11.299999999999997,88.8,100.1
Lehigh,-11.799999999999997,92.5,104.3
Maine,-11.799999999999997,91.7,103.5
Cal St. Fullerton,-11.599999999999994,89.7,101.3
North Dakota,-12.200000000000003,94.7,106.9
Evansville,-12.0,91.8,103.8
William & Mary,-12.400000000000006,94.5,106.9
Team,0.0,0.0,0.0
Southeast Missouri St.,-12.5,95.4,107.9
South Dakota,-12.0,91.5,103.5
Prairie View A&M,-12.200000000000003,91.5,103.7
Coppin St.,-11.899999999999991,88.9,100.8
Radford,-12.199999999999989,90.9,103.1
Incarnate Word,-12.700000000000003,94.2,106.9
Arkansas Pine Bluff,-12.599999999999994,93.0,105.6
USC Upstate,-13.0,94.5,107.5
UMKC,-12.399999999999991,89.9,102.3
Grambling St.,-12.199999999999989,87.9,100.1
Denver,-12.799999999999997,91.2,104.0
St. Francis NY,-12.600000000000009,90.3,102.9
Quinnipiac,-12.799999999999997,91.2,104.0
McNeese St.,-13.299999999999997,94.9,108.2
Longwood,-12.700000000000003,89.8,102.5
New Orleans,-13.200000000000003,92.1,105.3
Central Connecticut,-13.599999999999994,94.5,108.1
Bellarmine,-13.200000000000003,90.2,103.4
Morgan St.,-13.399999999999991,90.4,103.8
Weber St.,-13.600000000000009,92.3,105.9
Rider,-13.5,90.5,104.0
North Florida,-14.099999999999994,93.5,107.6
SIU Edwardsville,-14.099999999999994,91.0,105.1
Portland St.,-14.900000000000006,92.0,106.9
Southeastern Louisiana,-14.799999999999997,88.5,103.3
Idaho St.,-15.300000000000011,90.6,105.9
Alabama A&M,-15.699999999999989,88.9,104.6
Alcorn St.,-16.599999999999994,92.9,109.5
Binghamton,-16.299999999999997,91.5,107.8
Cal St. Northridge,-16.5,91.4,107.9
Delaware St.,-16.89999999999999,93.2,110.1
Idaho,-17.0,90.5,107.5
Sacred Heart,-17.099999999999994,89.5,106.6
Hampton,-18.0,91.6,109.6
Howard,-18.700000000000003,94.5,113.2
Tarleton St.,-17.700000000000003,88.5,106.2
Tennessee Martin,-19.5,91.7,111.2
Kennesaw St.,-19.200000000000003,88.8,108.0
Holy Cross,-20.19999999999999,89.4,109.6
Chicago St.,-22.19999999999999,89.9,112.1
Houston Baptist,-22.39999999999999,90.2,112.6
Western Illinois,-22.10000000000001,86.6,108.7
Presbyterian,-23.0,86.2,109.2
Alabama St.,-24.200000000000003,81.5,105.7
South Carolina St.,-26.700000000000003,85.2,111.9
Mississippi Valley St.,-29.799999999999997,84.3,114.1
Dixie St.,-32.599999999999994,76.5,109.1
